,Illust_Left_Left,Illust_Left,Illust_Right_Right,Illust_Right,Illust_Talker,Label_Talker,Text,FaceParts_Left_Left,FaceParts_Left,FaceParts_Right_Right,FaceParts_Right,EffectParts_1_Left_Left,EffectParts_1_Left,EffectParts_1_Right_Right,EffectParts_1_Right,EffectParts_2_Left_Left,EffectParts_2_Left,EffectParts_2_Right_Right,EffectParts_2_Right
 1,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","よっと！","jilga_faces_surprised","9","10","11","face_shadow","13","14","15","16","17","18","19"
 2,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","さて、突然ですがここは戦場。","jilga_faces_displeased","9","10","11","12","13","14","15","16","17","18","19"
 3,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","今回のミッション内容は、全ての敵兵のせん滅です。","jilga_faces_normal","9","10","11","12","13","14","15","16","17","18","19"
 4,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","敵兵は一人ならば弱いのですが、大勢になると手ごわいです。","jilga_faces_normal","9","10","11","12","13","14","15","16","17","18","19"
 5,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","つまり、うかつにケンカをしかけると大変なことになってしまいます。","jilga_faces_angry","9","10","11","12","13","14","15","16","17","18","19"
 6,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","…さて、さっそく敵があんなところに。","jilga_faces_lookaside","9","10","11","12","13","14","15","character_effect_surprise","17","18","19"
 7,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","敵兵を倒すには、「Bボタン」で繰り出せる攻撃を当てる必要があります。","jilga_faces_lookaside","9","10","11","12","13","14","15","16","17","18","19"
 8,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","「スティック」を倒すことにより歩き操作が。","jilga_faces_displeased","9","10","11","12","13","14","15","16","17","18","19"
 9,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","加えて、「Rキー」を押しながら倒すことでダッシュ操作ができます。","jilga_faces_displeased","9","10","11","12","13","14","15","16","17","18","19"
10,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","ただし、こちらを発見した敵は攻撃をしかけてきます。","jilga_faces_angry","9","10","11","12","13","14","15","16","17","18","19"
11,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","効率よく倒すのであれば、うまく隠れながら
奇襲攻撃を仕掛けた方が良いかもしれません。","jilga_faces_smile","9","10","11","12","13","14","15","16","17","18","19"
12,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","ジルガ","さぁ、はじめましょう！","jilga_faces_smile","9","10","11","12","13","14","15","16","17","18","19"
